Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
China,2019,Ransomware,It,72.29,666683.0,Hacker Group,Zero-Day,Encryption,34.0
Germany,2016,Phishing,Banking,44.17,236438.0,Hacker Group,Weak Passwords,Antivirus,24.0
Russia,2020,Ddos,Education,60.94,798113.0,Insider,Social Engineering,Antivirus,23.0
Germany,2021,Malware,Healthcare,23.34,518982.0,Hacker Group,Weak Passwords,Vpn,20.0
Germany,2015,Ddos,It,76.99,252225.0,Unknown,Unpatched Software,Antivirus,67.0
Usa,2017,Sql Injection,Banking,60.66,5346.0,Unknown,Zero-Day,Antivirus,69.0
China,2017,Ddos,Retail,19.36,4814.0,Unknown,Social Engineering,Ai-Based Detection,42.0
Brazil,2021,Sql Injection,Banking,50.61,772512.0,Hacker Group,Weak Passwords,Encryption,42.0
Australia,2023,Phishing,Education,81.81,16360.0,Nation-State,Unpatched Software,Ai-Based Detection,37.0
India,2024,Phishing,Telecommunications,38.68,224143.0,Nation-State,Social Engineering,Antivirus,60.0
Russia,2023,Phishing,It,52.35,743325.0,Insider,Weak Passwords,Vpn,9.0
France,2019,Phishing,Education,81.47,597542.0,Unknown,Weak Passwords,Vpn,11.0
Russia,2024,Malware,Education,55.15,913591.0,Hacker Group,Zero-Day,Ai-Based Detection,51.0
Japan,2023,Sql Injection,It,8.24,183702.0,Nation-State,Zero-Day,Vpn,36.0
China,2024,Ransomware,Healthcare,42.26,685837.0,Insider,Social Engineering,Vpn,68.0
India,2015,Phishing,Healthcare,28.6,690500.0,Hacker Group,Weak Passwords,Encryption,11.0
India,2016,Sql Injection,Banking,4.31,520308.0,Insider,Zero-Day,Vpn,39.0
Uk,2020,Phishing,Education,17.43,84643.0,Nation-State,Unpatched Software,Antivirus,53.0
France,2023,Malware,Healthcare,85.28,762282.0,Hacker Group,Social Engineering,Firewall,11.0
France,2022,Malware,Education,70.46,427144.0,Unknown,Zero-Day,Firewall,42.0
Russia,2018,Man-In-The-Middle,Banking,86.87,800683.0,Nation-State,Unpatched Software,Firewall,57.0
Japan,2024,Man-In-The-Middle,Education,46.39,662101.0,Insider,Social Engineering,Vpn,7.0
Australia,2016,Malware,It,30.72,977343.0,Hacker Group,Weak Passwords,Antivirus,47.0
India,2021,Ransomware,Education,86.73,534013.0,Unknown,Unpatched Software,Firewall,49.0
China,2024,Sql Injection,Education,50.99,947933.0,Insider,Social Engineering,Antivirus,10.0
Australia,2017,Phishing,Retail,9.25,692167.0,Unknown,Weak Passwords,Encryption,70.0
Japan,2023,Malware,It,23.16,320277.0,Unknown,Weak Passwords,Encryption,69.0
Japan,2017,Ransomware,Retail,49.75,163062.0,Unknown,Unpatched Software,Ai-Based Detection,43.0
Uk,2017,Malware,Banking,25.76,801821.0,Unknown,Weak Passwords,Ai-Based Detection,36.0
China,2016,Ransomware,Government,72.25,860664.0,Unknown,Zero-Day,Firewall,10.0
Japan,2018,Man-In-The-Middle,Education,20.85,511823.0,Insider,Zero-Day,Ai-Based Detection,43.0
Germany,2024,Man-In-The-Middle,It,93.13,952299.0,Unknown,Weak Passwords,Vpn,33.0
India,2018,Phishing,Education,5.27,982450.0,Unknown,Weak Passwords,Firewall,32.0
Australia,2024,Phishing,Retail,28.16,411083.0,Unknown,Weak Passwords,Firewall,30.0
Usa,2019,Man-In-The-Middle,Government,17.59,43140.0,Insider,Social Engineering,Ai-Based Detection,28.0
Uk,2018,Malware,Education,51.59,935465.0,Nation-State,Weak Passwords,Ai-Based Detection,28.0
Germany,2018,Ddos,Banking,81.34,52799.0,Insider,Zero-Day,Ai-Based Detection,38.0
China,2020,Sql Injection,Telecommunications,70.02,688312.0,Nation-State,Unpatched Software,Vpn,48.0
France,2024,Phishing,Government,5.18,219162.0,Hacker Group,Unpatched Software,Encryption,23.0
Uk,2017,Man-In-The-Middle,Telecommunications,60.01,740448.0,Hacker Group,Weak Passwords,Encryption,26.0
France,2016,Ransomware,Banking,62.73,596776.0,Unknown,Zero-Day,Firewall,17.0
Australia,2022,Sql Injection,Telecommunications,56.2,571454.0,Insider,Weak Passwords,Vpn,42.0
Russia,2020,Ddos,Government,72.59,787260.0,Insider,Weak Passwords,Firewall,15.0
Uk,2018,Malware,Healthcare,19.79,805745.0,Insider,Weak Passwords,Firewall,7.0
Russia,2020,Sql Injection,Telecommunications,50.99,377194.0,Unknown,Weak Passwords,Firewall,50.0
China,2023,Malware,Education,37.07,417554.0,Insider,Unpatched Software,Antivirus,35.0
China,2019,Sql Injection,Government,65.85,252025.0,Hacker Group,Zero-Day,Encryption,60.0
India,2015,Ransomware,Banking,96.03,898251.0,Hacker Group,Weak Passwords,Antivirus,70.0
Brazil,2015,Man-In-The-Middle,Banking,74.27,551388.0,Unknown,Zero-Day,Encryption,51.0
India,2017,Ddos,Banking,45.98,538245.0,Hacker Group,Weak Passwords,Ai-Based Detection,18.0
India,2021,Malware,Telecommunications,50.97,838461.0,Nation-State,Zero-Day,Ai-Based Detection,6.0
Brazil,2020,Sql Injection,Banking,68.05,912770.0,Unknown,Zero-Day,Ai-Based Detection,67.0
India,2021,Ddos,Education,95.95,62194.0,Nation-State,Zero-Day,Ai-Based Detection,12.0
Uk,2023,Man-In-The-Middle,Banking,15.01,416522.0,Insider,Social Engineering,Vpn,36.0
Uk,2021,Ddos,It,70.49,530341.0,Insider,Social Engineering,Vpn,40.0
Japan,2022,Ransomware,It,73.1,346939.0,Insider,Weak Passwords,Vpn,21.0
Russia,2021,Phishing,Banking,78.45,56333.0,Unknown,Zero-Day,Vpn,8.0
Germany,2018,Ransomware,It,27.51,644913.0,Unknown,Weak Passwords,Vpn,32.0
Japan,2017,Sql Injection,Banking,18.01,295917.0,Unknown,Weak Passwords,Vpn,57.0
India,2022,Malware,Healthcare,20.62,54206.0,Insider,Unpatched Software,Vpn,51.0
India,2018,Ddos,Telecommunications,47.5,423071.0,Unknown,Unpatched Software,Antivirus,69.0
Australia,2021,Man-In-The-Middle,Healthcare,17.62,687020.0,Unknown,Weak Passwords,Antivirus,48.0
Usa,2020,Ransomware,Education,77.09,550317.0,Insider,Zero-Day,Encryption,63.0
Uk,2021,Phishing,Banking,48.0,170032.0,Nation-State,Social Engineering,Encryption,24.0
China,2020,Sql Injection,Healthcare,11.55,388591.0,Unknown,Zero-Day,Antivirus,68.0
India,2023,Ddos,Healthcare,2.27,438318.0,Hacker Group,Unpatched Software,Ai-Based Detection,39.0
India,2018,Ddos,Education,1.71,63389.0,Insider,Unpatched Software,Vpn,20.0
Usa,2015,Man-In-The-Middle,Retail,95.66,377602.0,Nation-State,Zero-Day,Firewall,15.0
France,2021,Sql Injection,Government,42.75,467551.0,Unknown,Unpatched Software,Encryption,61.0
Uk,2022,Malware,Telecommunications,38.76,361529.0,Nation-State,Social Engineering,Firewall,67.0
Australia,2019,Phishing,Retail,15.21,677755.0,Hacker Group,Social Engineering,Firewall,52.0
Uk,2022,Man-In-The-Middle,It,66.25,303838.0,Nation-State,Zero-Day,Ai-Based Detection,56.0
India,2016,Ransomware,Banking,93.74,339815.0,Insider,Weak Passwords,Firewall,58.0
Russia,2020,Ransomware,Banking,13.66,820140.0,Insider,Social Engineering,Vpn,63.0
Russia,2015,Ransomware,It,49.3,879875.0,Insider,Zero-Day,Encryption,61.0
Brazil,2022,Man-In-The-Middle,Healthcare,40.94,987320.0,Unknown,Zero-Day,Ai-Based Detection,44.0
Japan,2023,Sql Injection,Government,13.51,772948.0,Unknown,Zero-Day,Vpn,43.0
Brazil,2015,Phishing,Healthcare,84.83,794914.0,Insider,Social Engineering,Firewall,34.0
Brazil,2019,Phishing,Telecommunications,36.98,198563.0,Hacker Group,Social Engineering,Firewall,24.0
Germany,2022,Ddos,Retail,21.45,32346.0,Unknown,Unpatched Software,Ai-Based Detection,38.0
China,2015,Phishing,Banking,18.39,541829.0,Nation-State,Zero-Day,Antivirus,33.0
Russia,2024,Phishing,Telecommunications,21.22,446028.0,Hacker Group,Weak Passwords,Vpn,37.0
France,2022,Malware,Education,13.06,759625.0,Insider,Social Engineering,Encryption,36.0
Brazil,2017,Phishing,Retail,3.18,520654.0,Nation-State,Social Engineering,Vpn,53.0
Usa,2023,Ddos,It,99.64,248383.0,Insider,Social Engineering,Firewall,55.0
China,2017,Man-In-The-Middle,Banking,62.39,855974.0,Unknown,Social Engineering,Vpn,44.0
China,2020,Malware,Government,84.23,50842.0,Insider,Zero-Day,Ai-Based Detection,59.0
Germany,2015,Man-In-The-Middle,Education,81.5,697275.0,Nation-State,Weak Passwords,Encryption,59.0
Germany,2022,Man-In-The-Middle,Telecommunications,0.54,419912.0,Nation-State,Zero-Day,Ai-Based Detection,40.0
Japan,2023,Man-In-The-Middle,Banking,65.8,193620.0,Nation-State,Zero-Day,Vpn,67.0
China,2024,Sql Injection,Banking,58.32,777684.0,Unknown,Zero-Day,Vpn,31.0
Uk,2018,Malware,Healthcare,27.61,375245.0,Hacker Group,Social Engineering,Firewall,20.0
China,2023,Phishing,It,22.96,656090.0,Insider,Unpatched Software,Encryption,27.0
Australia,2016,Man-In-The-Middle,It,80.27,653967.0,Unknown,Unpatched Software,Encryption,21.0
India,2022,Sql Injection,Education,0.83,977791.0,Unknown,Weak Passwords,Antivirus,15.0
Uk,2023,Ddos,Telecommunications,81.91,397687.0,Hacker Group,Social Engineering,Vpn,65.0
France,2017,Malware,Banking,40.87,719537.0,Nation-State,Zero-Day,Ai-Based Detection,23.0
Brazil,2017,Ddos,Telecommunications,34.79,724790.0,Hacker Group,Unpatched Software,Firewall,64.0
France,2016,Phishing,It,33.33,51723.0,Hacker Group,Weak Passwords,Encryption,23.0
India,2022,Ransomware,Healthcare,50.99,312340.0,Nation-State,Zero-Day,Vpn,35.0
India,2016,Man-In-The-Middle,Banking,15.28,995025.0,Unknown,Weak Passwords,Ai-Based Detection,52.0
France,2024,Sql Injection,Telecommunications,48.77,336356.0,Hacker Group,Unpatched Software,Encryption,2.0
France,2017,Ransomware,Retail,48.93,886212.0,Unknown,Weak Passwords,Encryption,67.0
Japan,2016,Ransomware,Healthcare,37.23,209358.0,Nation-State,Social Engineering,Firewall,25.0
Russia,2022,Ddos,Education,69.24,495616.0,Nation-State,Unpatched Software,Antivirus,38.0
China,2021,Sql Injection,Government,55.55,224311.0,Insider,Zero-Day,Firewall,57.0
Japan,2022,Ddos,Banking,51.95,65516.0,Insider,Weak Passwords,Firewall,37.0
Germany,2024,Ransomware,Government,40.36,301972.0,Unknown,Zero-Day,Vpn,33.0
Germany,2015,Phishing,Telecommunications,47.04,124250.0,Insider,Zero-Day,Ai-Based Detection,36.0
Usa,2018,Man-In-The-Middle,Healthcare,22.61,733934.0,Nation-State,Zero-Day,Firewall,31.0
Brazil,2022,Malware,It,19.26,377446.0,Unknown,Zero-Day,Ai-Based Detection,12.0
China,2021,Sql Injection,It,98.57,430792.0,Insider,Weak Passwords,Antivirus,9.0
Uk,2015,Malware,It,96.79,825881.0,Unknown,Zero-Day,Ai-Based Detection,35.0
Usa,2020,Malware,Telecommunications,27.16,858207.0,Nation-State,Unpatched Software,Ai-Based Detection,42.0
Germany,2021,Ransomware,Healthcare,16.64,912847.0,Unknown,Zero-Day,Antivirus,27.0
Uk,2018,Malware,Banking,41.34,82287.0,Unknown,Unpatched Software,Encryption,61.0
Usa,2020,Man-In-The-Middle,Education,44.85,527938.0,Nation-State,Zero-Day,Encryption,1.0
Uk,2022,Ddos,Telecommunications,50.9,645154.0,Insider,Weak Passwords,Ai-Based Detection,16.0
India,2018,Ransomware,Retail,26.01,732636.0,Hacker Group,Zero-Day,Vpn,3.0
Russia,2015,Ddos,Retail,69.61,26321.0,Nation-State,Zero-Day,Encryption,11.0
Germany,2023,Ransomware,Banking,52.88,982507.0,Unknown,Unpatched Software,Encryption,39.0
Russia,2019,Malware,Retail,11.57,367712.0,Nation-State,Weak Passwords,Firewall,13.0
Russia,2015,Ddos,Telecommunications,83.28,236346.0,Insider,Unpatched Software,Ai-Based Detection,55.0
Australia,2018,Sql Injection,Retail,51.46,287089.0,Nation-State,Weak Passwords,Encryption,8.0
Brazil,2024,Malware,Healthcare,50.71,964191.0,Unknown,Weak Passwords,Vpn,36.0
China,2016,Sql Injection,Healthcare,52.68,55913.0,Nation-State,Social Engineering,Antivirus,70.0
Japan,2015,Phishing,Government,98.29,850600.0,Insider,Zero-Day,Encryption,17.0
France,2024,Phishing,Retail,50.99,201137.0,Hacker Group,Zero-Day,Antivirus,25.0
Germany,2017,Malware,Healthcare,1.68,859708.0,Nation-State,Weak Passwords,Encryption,10.0
Russia,2016,Phishing,Government,2.74,863777.0,Insider,Zero-Day,Antivirus,20.0
Japan,2024,Sql Injection,Banking,67.37,521384.0,Unknown,Social Engineering,Antivirus,32.0
Uk,2022,Sql Injection,Government,69.09,474183.0,Insider,Weak Passwords,Antivirus,27.0
Brazil,2018,Sql Injection,Retail,36.63,829742.0,Insider,Unpatched Software,Firewall,36.0
Usa,2021,Ddos,Telecommunications,99.81,460842.0,Unknown,Weak Passwords,Ai-Based Detection,59.0
Australia,2022,Malware,Retail,47.33,839881.0,Unknown,Zero-Day,Firewall,51.0
Brazil,2017,Ddos,It,72.48,860625.0,Unknown,Zero-Day,Firewall,4.0
Uk,2019,Sql Injection,Healthcare,65.47,263110.0,Insider,Social Engineering,Firewall,6.0
Japan,2020,Man-In-The-Middle,It,13.61,506364.0,Nation-State,Social Engineering,Firewall,66.0
Usa,2021,Phishing,Education,6.01,176772.0,Insider,Unpatched Software,Firewall,6.0
Brazil,2021,Sql Injection,Retail,1.32,564277.0,Nation-State,Weak Passwords,Firewall,1.0
Australia,2017,Man-In-The-Middle,Retail,47.97,36780.0,Insider,Unpatched Software,Antivirus,64.0
Germany,2021,Ransomware,Retail,46.82,589744.0,Nation-State,Weak Passwords,Vpn,32.0
Russia,2018,Malware,Government,59.01,309230.0,Hacker Group,Social Engineering,Encryption,61.0
China,2024,Phishing,Telecommunications,53.59,4913.0,Hacker Group,Weak Passwords,Ai-Based Detection,61.0
Brazil,2020,Sql Injection,Education,50.41,350295.0,Insider,Unpatched Software,Encryption,5.0
Usa,2020,Ddos,Banking,60.2,998937.0,Nation-State,Zero-Day,Antivirus,19.0
Brazil,2018,Malware,Telecommunications,96.22,445546.0,Nation-State,Weak Passwords,Firewall,45.0
Brazil,2023,Sql Injection,Healthcare,7.33,486146.0,Insider,Zero-Day,Firewall,12.0
Uk,2016,Phishing,Education,29.49,466333.0,Hacker Group,Zero-Day,Firewall,51.0
Japan,2019,Phishing,Government,73.35,706019.0,Nation-State,Zero-Day,Encryption,65.0
Uk,2020,Ddos,Retail,70.03,971464.0,Nation-State,Weak Passwords,Firewall,4.0
India,2015,Man-In-The-Middle,It,76.97,224983.0,Nation-State,Weak Passwords,Ai-Based Detection,42.0
Brazil,2019,Ransomware,Telecommunications,87.41,919425.0,Nation-State,Unpatched Software,Encryption,45.0
Russia,2023,Ddos,Telecommunications,57.25,115138.0,Unknown,Unpatched Software,Encryption,42.0
Japan,2020,Phishing,It,99.57,786468.0,Nation-State,Social Engineering,Antivirus,36.0
India,2023,Phishing,Retail,5.11,620560.0,Hacker Group,Weak Passwords,Antivirus,59.0
Usa,2017,Malware,Government,56.74,976007.0,Insider,Social Engineering,Encryption,59.0
France,2016,Ddos,Education,46.58,361163.0,Hacker Group,Zero-Day,Firewall,38.0
Brazil,2017,Ransomware,Healthcare,54.78,469735.0,Nation-State,Zero-Day,Encryption,57.0
Usa,2015,Man-In-The-Middle,It,46.27,117231.0,Unknown,Unpatched Software,Ai-Based Detection,28.0
Germany,2018,Ransomware,Healthcare,14.38,276925.0,Unknown,Unpatched Software,Vpn,54.0
Australia,2019,Malware,Telecommunications,37.3,208089.0,Unknown,Zero-Day,Antivirus,33.0
Australia,2016,Phishing,Telecommunications,50.99,71720.0,Hacker Group,Zero-Day,Encryption,21.0
Russia,2024,Ransomware,Telecommunications,35.62,236676.0,Nation-State,Social Engineering,Ai-Based Detection,67.0
India,2024,Man-In-The-Middle,Telecommunications,93.46,409281.0,Nation-State,Weak Passwords,Antivirus,18.0
Japan,2023,Phishing,Banking,82.36,612815.0,Unknown,Zero-Day,Antivirus,12.0
Russia,2022,Sql Injection,Telecommunications,11.32,153618.0,Nation-State,Weak Passwords,Vpn,29.0
India,2023,Ransomware,Banking,57.15,704230.0,Nation-State,Zero-Day,Vpn,71.0
China,2019,Malware,Retail,79.37,863510.0,Hacker Group,Zero-Day,Vpn,2.0
India,2024,Ddos,Healthcare,4.08,488599.0,Unknown,Social Engineering,Encryption,11.0
France,2022,Ransomware,Healthcare,80.73,964782.0,Unknown,Weak Passwords,Vpn,47.0
Germany,2018,Phishing,It,48.96,323027.0,Unknown,Zero-Day,Encryption,49.0
China,2023,Man-In-The-Middle,Education,10.55,12970.0,Unknown,Social Engineering,Antivirus,32.0
India,2020,Man-In-The-Middle,Government,50.19,659835.0,Unknown,Zero-Day,Encryption,46.0
China,2023,Sql Injection,Telecommunications,66.92,336320.0,Hacker Group,Social Engineering,Vpn,36.0
China,2017,Man-In-The-Middle,Banking,47.52,83617.0,Insider,Unpatched Software,Ai-Based Detection,64.0
Brazil,2018,Malware,Banking,87.13,99178.0,Nation-State,Zero-Day,Antivirus,27.0
Brazil,2024,Ransomware,Education,80.1,489369.0,Nation-State,Unpatched Software,Encryption,41.0
Russia,2017,Phishing,Telecommunications,2.22,620350.0,Hacker Group,Zero-Day,Firewall,45.0
Usa,2020,Ddos,Healthcare,38.14,846602.0,Insider,Weak Passwords,Firewall,31.0
India,2017,Malware,Government,61.02,650042.0,Nation-State,Unpatched Software,Antivirus,48.0
Japan,2022,Man-In-The-Middle,Government,61.01,549197.0,Hacker Group,Social Engineering,Antivirus,59.0
France,2023,Phishing,It,15.49,138639.0,Hacker Group,Unpatched Software,Vpn,14.0
Australia,2024,Man-In-The-Middle,Healthcare,93.4,833819.0,Insider,Unpatched Software,Antivirus,14.0
India,2022,Malware,Retail,13.88,813217.0,Insider,Zero-Day,Ai-Based Detection,71.0
Uk,2017,Malware,Banking,50.99,636273.0,Insider,Zero-Day,Antivirus,30.0
Russia,2017,Man-In-The-Middle,Banking,66.53,45277.0,Insider,Social Engineering,Firewall,43.0
Australia,2015,Phishing,Telecommunications,89.41,488342.0,Hacker Group,Unpatched Software,Firewall,23.0
France,2019,Phishing,It,55.31,526220.0,Nation-State,Social Engineering,Ai-Based Detection,2.0
Usa,2023,Ddos,Education,90.38,311596.0,Insider,Weak Passwords,Vpn,23.0
Brazil,2024,Ddos,Retail,25.17,658226.0,Insider,Weak Passwords,Vpn,52.0
India,2019,Phishing,Education,6.29,344693.0,Hacker Group,Social Engineering,Encryption,19.0
France,2016,Phishing,Education,37.57,380995.0,Unknown,Weak Passwords,Vpn,60.0
Brazil,2018,Malware,Banking,3.1,458185.0,Insider,Social Engineering,Ai-Based Detection,31.0
Brazil,2022,Man-In-The-Middle,Education,91.69,581034.0,Insider,Social Engineering,Vpn,67.0
Russia,2019,Ransomware,Retail,19.97,722544.0,Hacker Group,Social Engineering,Encryption,14.0
Brazil,2024,Phishing,It,28.78,793783.0,Insider,Social Engineering,Firewall,17.0
China,2023,Sql Injection,It,53.21,620822.0,Unknown,Zero-Day,Firewall,21.0
Russia,2022,Ransomware,Healthcare,16.6,715102.0,Insider,Zero-Day,Antivirus,2.0
Russia,2021,Man-In-The-Middle,Banking,44.32,634390.0,Unknown,Zero-Day,Antivirus,54.0
Japan,2021,Ransomware,Government,10.34,791473.0,Nation-State,Zero-Day,Firewall,58.0
China,2022,Phishing,It,41.81,631816.0,Unknown,Weak Passwords,Firewall,29.0
Germany,2022,Malware,Banking,84.54,517353.0,Unknown,Zero-Day,Antivirus,41.0
Japan,2015,Malware,Telecommunications,40.38,118734.0,Insider,Unpatched Software,Ai-Based Detection,21.0
India,2020,Man-In-The-Middle,Education,39.15,963367.0,Insider,Zero-Day,Encryption,50.0
Australia,2021,Sql Injection,Telecommunications,22.51,71557.0,Insider,Social Engineering,Antivirus,47.0
Brazil,2017,Ransomware,Government,58.18,824704.0,Hacker Group,Zero-Day,Antivirus,30.0
Germany,2023,Man-In-The-Middle,Banking,92.48,1326.0,Nation-State,Social Engineering,Antivirus,11.0
Uk,2015,Phishing,Banking,51.38,630931.0,Insider,Zero-Day,Ai-Based Detection,48.0
Germany,2016,Phishing,Government,93.61,505132.5,Insider,Unpatched Software,Antivirus,64.0
Australia,2017,Ransomware,Government,27.38,918816.0,Unknown,Weak Passwords,Ai-Based Detection,58.0
Australia,2021,Malware,Healthcare,74.61,505132.5,Nation-State,Zero-Day,Antivirus,21.0
Uk,2019,Sql Injection,It,78.84,464960.0,Unknown,Unpatched Software,Encryption,36.0
Usa,2019,Ransomware,Telecommunications,65.7,51619.0,Insider,Unpatched Software,Vpn,3.0
Brazil,2017,Phishing,It,81.04,850794.0,Unknown,Zero-Day,Antivirus,69.0
France,2015,Man-In-The-Middle,Banking,27.2,559841.0,Nation-State,Unpatched Software,Vpn,22.0
China,2022,Ddos,Healthcare,86.38,685136.0,Nation-State,Weak Passwords,Antivirus,62.0
Brazil,2016,Malware,Education,83.93,102797.0,Unknown,Weak Passwords,Firewall,17.0
France,2022,Ransomware,Healthcare,40.36,439046.0,Insider,Social Engineering,Vpn,42.0
Usa,2019,Sql Injection,Telecommunications,57.4,51312.0,Insider,Social Engineering,Ai-Based Detection,26.0
Brazil,2022,Ransomware,Retail,1.42,510870.0,Unknown,Unpatched Software,Ai-Based Detection,35.0
Russia,2021,Sql Injection,Government,66.5,348118.0,Hacker Group,Zero-Day,Vpn,36.0
Australia,2016,Ransomware,Healthcare,47.18,509930.0,Unknown,Social Engineering,Ai-Based Detection,68.0
Uk,2016,Ransomware,It,58.99,822380.0,Hacker Group,Zero-Day,Firewall,26.0
Germany,2022,Sql Injection,Banking,52.91,619669.0,Unknown,Unpatched Software,Antivirus,19.0
Australia,2023,Sql Injection,Telecommunications,20.95,341111.0,Insider,Weak Passwords,Vpn,14.0
France,2018,Ransomware,Government,2.79,443730.0,Hacker Group,Weak Passwords,Antivirus,39.0
Japan,2017,Ddos,It,27.76,824968.0,Insider,Weak Passwords,Encryption,15.0
Japan,2016,Man-In-The-Middle,Retail,58.77,172346.0,Nation-State,Social Engineering,Ai-Based Detection,51.0
Germany,2022,Ddos,Telecommunications,51.95,919855.0,Unknown,Weak Passwords,Antivirus,56.0
Germany,2021,Man-In-The-Middle,It,90.57,254634.0,Hacker Group,Social Engineering,Ai-Based Detection,5.0
France,2022,Phishing,Retail,39.15,724409.0,Unknown,Weak Passwords,Antivirus,36.0
Uk,2018,Phishing,Healthcare,95.3,269142.0,Unknown,Unpatched Software,Encryption,72.0
India,2024,Phishing,Retail,92.48,32067.0,Insider,Unpatched Software,Antivirus,19.0
Germany,2020,Malware,Government,32.2,591314.0,Hacker Group,Weak Passwords,Encryption,65.0
Germany,2019,Sql Injection,Healthcare,91.72,149171.0,Unknown,Zero-Day,Vpn,64.0
Brazil,2016,Ddos,It,13.52,535205.0,Hacker Group,Social Engineering,Ai-Based Detection,53.0
Germany,2022,Ransomware,Education,87.93,505132.5,Nation-State,Zero-Day,Antivirus,4.0
France,2019,Phishing,Healthcare,52.18,869751.0,Insider,Zero-Day,Firewall,12.0
Russia,2017,Ddos,Education,50.42,690010.0,Unknown,Weak Passwords,Firewall,18.0
Brazil,2017,Ransomware,Healthcare,32.9,433987.0,Unknown,Zero-Day,Ai-Based Detection,21.0
Uk,2017,Phishing,Banking,1.54,31262.0,Unknown,Social Engineering,Firewall,56.0
Australia,2022,Malware,Retail,32.26,824433.0,Nation-State,Unpatched Software,Ai-Based Detection,60.0
Germany,2023,Man-In-The-Middle,Retail,23.28,651963.0,Insider,Unpatched Software,Ai-Based Detection,53.0
France,2017,Sql Injection,Education,81.06,349070.0,Unknown,Zero-Day,Vpn,41.0
Usa,2024,Malware,Telecommunications,71.42,967411.0,Hacker Group,Social Engineering,Ai-Based Detection,47.0
Japan,2021,Sql Injection,Retail,64.81,263770.0,Unknown,Social Engineering,Antivirus,62.0
Uk,2016,Phishing,Retail,85.89,714670.0,Hacker Group,Weak Passwords,Vpn,32.0
Usa,2021,Ddos,Telecommunications,47.84,498904.0,Hacker Group,Zero-Day,Antivirus,65.0
Usa,2024,Phishing,Education,47.95,569539.0,Unknown,Weak Passwords,Encryption,18.0
China,2016,Man-In-The-Middle,Retail,82.52,217938.0,Nation-State,Weak Passwords,Vpn,69.0
China,2022,Ransomware,Retail,36.48,172607.0,Unknown,Zero-Day,Vpn,60.0
India,2023,Man-In-The-Middle,Retail,95.66,424762.0,Insider,Unpatched Software,Vpn,10.0
Japan,2019,Man-In-The-Middle,It,42.34,130309.0,Insider,Zero-Day,Ai-Based Detection,56.0
India,2018,Ddos,Government,65.11,95378.0,Insider,Social Engineering,Antivirus,67.0
India,2017,Phishing,It,53.95,920801.0,Nation-State,Zero-Day,Antivirus,52.0
Japan,2020,Man-In-The-Middle,Retail,91.36,551038.0,Insider,Social Engineering,Antivirus,21.0
China,2016,Malware,Telecommunications,85.8,962508.0,Unknown,Social Engineering,Ai-Based Detection,13.0
France,2020,Malware,Healthcare,92.29,267554.0,Hacker Group,Social Engineering,Firewall,45.0
Japan,2020,Ransomware,It,25.3,76258.0,Unknown,Social Engineering,Vpn,43.0
Russia,2016,Malware,Banking,3.6,661377.0,Unknown,Weak Passwords,Antivirus,36.0
Australia,2022,Sql Injection,Retail,56.62,310341.0,Unknown,Weak Passwords,Encryption,32.0
Russia,2017,Phishing,Education,66.25,702883.0,Insider,Unpatched Software,Vpn,31.0
Usa,2017,Malware,Education,78.38,516103.0,Hacker Group,Unpatched Software,Firewall,62.0
Usa,2015,Malware,Retail,84.7,542283.0,Hacker Group,Social Engineering,Firewall,64.0
Russia,2016,Sql Injection,Government,43.75,173441.0,Hacker Group,Social Engineering,Antivirus,36.0
France,2017,Ddos,Retail,67.36,856228.0,Hacker Group,Zero-Day,Encryption,47.0
Uk,2019,Malware,It,68.54,791265.0,Hacker Group,Social Engineering,Firewall,65.0
Usa,2019,Malware,Retail,45.42,969699.0,Hacker Group,Social Engineering,Firewall,63.0
Russia,2023,Malware,Telecommunications,95.0,338867.0,Nation-State,Zero-Day,Ai-Based Detection,34.0
Japan,2018,Phishing,Government,44.98,951249.0,Hacker Group,Weak Passwords,Vpn,25.0
Usa,2022,Ransomware,It,50.4,34584.0,Insider,Zero-Day,Firewall,36.0
Brazil,2021,Malware,Education,74.37,298836.0,Hacker Group,Social Engineering,Encryption,29.0
Brazil,2018,Malware,Retail,27.82,526161.0,Unknown,Unpatched Software,Ai-Based Detection,12.0
Brazil,2020,Phishing,Government,76.95,476308.0,Insider,Social Engineering,Vpn,44.0
China,2017,Sql Injection,Banking,29.39,206897.0,Unknown,Zero-Day,Encryption,18.0
Japan,2022,Malware,It,1.92,2653.0,Nation-State,Unpatched Software,Ai-Based Detection,56.0
Uk,2024,Ransomware,Healthcare,90.37,540353.0,Hacker Group,Unpatched Software,Antivirus,68.0
Germany,2015,Phishing,Retail,84.77,779922.0,Nation-State,Zero-Day,Antivirus,50.0
Germany,2016,Ransomware,Education,24.4,908906.0,Hacker Group,Weak Passwords,Ai-Based Detection,46.0
Russia,2021,Man-In-The-Middle,Healthcare,28.34,446741.0,Nation-State,Weak Passwords,Firewall,20.0
India,2023,Phishing,Education,9.95,317488.0,Insider,Social Engineering,Vpn,46.0
Brazil,2024,Phishing,It,72.33,182613.0,Unknown,Unpatched Software,Ai-Based Detection,26.0
Uk,2018,Ransomware,It,61.42,211305.0,Hacker Group,Zero-Day,Encryption,27.0
